theme,symbol,clean_symbol
Paper,WSTCSTPAPR.NS,WSTCSTPAPR
Wires and Cables,APARINDS.NS,APARINDS
Wires and Cables,BANSALWIRE.NS,BANSALWIRE
Wires and Cables,FINCABLES.NS,FINCABLES
Wires and Cables,KEI.NS,KEI
Wires and Cables,POLYCAB.NS,POLYCAB
Wires and Cables,RRKABEL.NS,RRKABEL
Wires and Cables,UNIVCABLES.NS,UNIVCABLES
Wires and Cables,VGUARD.NS,VGUARD
Hotels & Hospitality,BYKE.NS,BYKE
Hotels & Hospitality,CHALET.NS,CHALET
Hotels & Hospitality,EIHOTEL.NS,EIHOTEL
Hotels & Hospitality,HLVLTD.NS,HLVLTD
Hotels & Hospitality,INDHOTEL.NS,INDHOTEL
Hotels & Hospitality,ITCHOTELS.NS,ITCHOTELS
Hotels & Hospitality,LEMONTREE.NS,LEMONTREE
Hotels & Hospitality,MHRIL.NS,MHRIL
Hotels & Hospitality,ORIENTHOT.NS,ORIENTHOT
Hotels & Hospitality,TAJGVK.NS,TAJGVK
PVC Pipes & Plumbing,APOLLOPIPE.NS,APOLLOPIPE
PVC Pipes & Plumbing,ASTRAL.NS,ASTRAL
PVC Pipes & Plumbing,FINPIPE.NS,FINPIPE
PVC Pipes & Plumbing,JINDALPOLY.NS,JINDALPOLY
PVC Pipes & Plumbing,PRAKASH.NS,PRAKASH
PVC Pipes & Plumbing,PRINCEPIPE.NS,PRINCEPIPE
PVC Pipes & Plumbing,SUPREMEIND.NS,SUPREMEIND
